"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"File","Refresh","F5","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Terminal view commands","Terminal view insert","Alt+D","Terminal Typing Connected"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"File","Save","Ctrl+S","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing JavaScript Source"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Views","JavaScript Declaration","Alt+Shift+Q, D","JavaScript View"
"Edit","Toggle Comment","Ctrl+/","Editing SQL"
"Window","Activate Editor","F12","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Database Tools","Edit in SQL Query Builder...","Alt+Q","Editing SQL"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Project","Build All","Ctrl+B","In Windows"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
